"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"폭력범죄",공갈,4847,255,353,2,798,1,5,44,3,85,51,64,409,352,13,16,-,9,3,25,2,42,75,28,31,7,7,-,4,2,1,31,5,61,2063,5281,309,387,1,665,5,11,84,1,58,44,64,160,297,13,21,1,8,1,25,5,40,29,23,29,7,4,-,4,-,-,36,5,47,2897,5131,356,317,4,554,-,6,32,7,57,31,43,129,259,9,14,3,5,1,30,1,24,42,18,22,7,4,1,6,2,1,17,1,26,3102
"폭력범죄",손괴,58146,7079,4787,39,23646,27,131,302,28,995,914,1501,3981,815,188,272,89,163,37,213,40,153,169,118,171,195,1412,84,-,3,35,7369,150,178,2862,58191,7567,4573,37,22936,24,127,286,27,977,853,1669,3568,784,175,227,94,161,33,196,36,162,123,104,142,161,1425,93,3,2,25,7765,139,153,3544,54188,8144,4452,20,20560,17,118,268,31,875,756,2157,2216,735,152,208,85,131,25,190,32,191,104,98,121,147,1453,31,-,1,23,7254,134,110,3349
"지능범죄",소계,381533,12629,19309,1017,45620,540,1120,2127,297,7420,2766,2030,25747,57098,1724,2615,232,2850,890,5305,547,1383,697,12333,2306,369,579,200,54,23,17,1483,1311,1070,167825,424642,14856,19797,1325,60205,406,1086,2472,298,7239,2506,1828,23602,53461,1650,2297,212,2219,880,4964,285,1147,533,6602,2188,306,579,184,66,30,29,1851,1078,661,207800,361107,12468,13695,1057,66079,352,1030,3558,257,6201,1892,1403,12279,38544,1167,1526,166,2022,848,3785,256,1167,434,2686,1927,229,454,213,53,30,18,2341,906,476,181588
"지능범죄",직무유기,590,8,8,1,58,-,-,-,-,3,1,-,3,330,5,3,-,-,-,-,-,3,9,-,2,-,5,1,1,5,-,2,-,-,142,730,4,8,1,65,-,-,-,-,1,-,3,3,407,3,6,-,-,-,1,-,3,8,1,4,-,9,-,2,5,1,2,-,-,193,957,15,8,-,72,-,1,1,-,2,3,2,5,542,1,5,-,1,-,-,-,2,21,4,6,-,11,-,3,6,-,1,-,1,244
"지능범죄",직권남용,674,9,11,-,96,-,-,-,-,1,1,1,9,354,-,-,1,3,-,1,1,4,12,4,8,-,4,-,1,2,-,8,1,-,142,724,11,12,-,83,-,1,1,-,2,1,3,4,370,-,2,-,2,1,3,-,1,20,2,4,2,2,1,1,9,-,4,-,-,182,875,14,16,-,113,-,-,4,-,5,3,2,14,426,-,-,-,2,-,4,-,-,14,4,9,2,6,-,-,8,-,2,-,-,227
"지능범죄",증수뢰,260,2,2,-,15,-,-,-,-,2,2,2,25,109,3,2,-,-,-,-,2,1,17,3,3,-,1,-,1,-,-,2,-,-,66,289,-,5,-,13,-,1,-,-,1,1,1,18,130,1,2,-,-,-,1,2,2,26,2,2,-,1,-,2,-,-,4,-,-,74,402,3,3,-,17,-,1,-,-,1,2,3,18,103,-,2,-,-,-,-,4,4,8,-,3,-,1,-,2,-,-,3,-,-,224
"지능범죄",통화,980,4,2,1,47,2,22,39,3,53,32,6,27,30,-,-,-,5,-,3,-,2,-,547,5,2,-,1,-,-,-,-,-,1,146,626,2,3,2,29,1,22,19,-,32,12,5,11,14,-,-,-,3,-,4,-,-,1,365,4,-,-,-,-,-,-,-,-,-,97,376,2,4,-,14,-,1,18,-,19,9,2,17,16,-,-,-,-,-,11,-,-,1,205,-,1,-,-,-,-,-,-,-,-,56
"지능범죄",문서·인장,11343,237,294,18,667,4,27,230,9,321,97,37,440,4704,31,48,-,20,1,5,5,12,31,179,83,30,15,34,10,2,-,89,-,22,3641,11533,307,289,10,689,1,20,192,9,342,76,28,378,4257,18,22,1,7,-,9,3,7,41,139,80,19,21,50,10,3,1,86,-,17,4401,10472,206,256,15,697,2,10,125,5,248,67,35,145,3829,17,26,4,12,1,4,2,4,25,125,63,19,23,157,2,1,-,52,-,14,4281
"지능범죄",유가증권인지,140,2,2,-,5,-,1,2,-,12,3,2,1,44,-,1,-,1,-,-,-,2,-,11,-,-,-,-,-,-,-,2,-,-,49,84,1,-,-,5,-,1,1,-,2,2,-,4,31,1,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,27,63,-,-,-,1,-,2,3,1,1,1,2,-,17,-,-,-,-,-,-,-,1,-,6,-,-,-,-,-,-,-,-,-,-,28
"지능범죄",사기,304472,10537,18015,865,23413,129,486,923,68,5632,1878,1587,22920,43820,1235,2243,137,735,54,1444,250,196,268,10609,1791,234,414,148,36,13,9,406,1,749,153227,347675,12365,18366,1161,36460,145,395,1266,71,5388,1746,1424,21123,40892,1266,2015,113,441,78,1669,134,180,233,5259,1741,194,393,75,47,13,16,821,2,402,191781,294075,10071,12618,939,44667,115,354,2389,67,4370,1232,1153,11025,28142,884,1305,92,438,59,1329,156,176,233,1771,1516,153,271,33,45,12,13,1326,6,316,166799
