"2017년"," 기소_구공판 구속 "," 기소_구공판 불구속 "," 기소_구약식 "," 소년보호송치 "," 가정보호송치 "," 성매매보호송치 "," 아동보호송치 "," 불기소_기소유예 "," 불기소_혐의없음 "," 불기소_죄가안됨 "," 불기소_공소권없음 "," 기소중지 "," 참고인중지 "," 공소보류 ",
"출입국관리법"," - ","3","25"," - "," - "," - "," - ","4","6"," - ","9"," - "," - "," - ",
"통신비밀보호법"," - ","2","2"," - "," - "," - "," - ","1","4"," - "," - ","2"," - "," - ",
"특가법(도주차량)","1","33","23","1"," - "," - "," - ","1","3"," - ","1","1"," - "," - ",
"특허법"," - "," - "," - "," - "," - "," - "," - "," - ","15"," - ","2"," - "," - "," - ",
"폐기물관리법","3","14"," - "," - "," - "," - "," - "," - ","2"," - "," - "," - "," - "," - ",
"풍속영업의규제에관한법률"," - ","3","11"," - "," - "," - "," - ","10","3"," - "," - "," - "," - "," - ",
"하천법"," - "," - ","2"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"학교보건법"," - "," - ","7"," - "," - "," - "," - "," - ","1"," - ","1"," - "," - "," - ",
"학원의설립운영및과외교습에관한법률"," - "," - ","14"," - "," - "," - "," - ","8","6"," - "," - "," - "," - "," - ",
"화물자동차운수사업법"," - "," - ","125"," - "," - "," - "," - ","32","11"," - ","2","1"," - "," - ",
"화재로인한재해보상과보험가입에관한법률"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"화재예방·소방시설설치유지및안전관리에관한법률"," - "," - ","2"," - "," - "," - "," - ","2"," - "," - "," - "," - "," - "," - ",
"화학물질관리법","1"," - "," - "," - "," - "," - "," - "," - ","2"," - "," - ","1","3"," - ",
"기타특별법","26","226","922","3"," - "," - ","2","323","237","2","53","21","4"," - ",
