범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
물환경보전법,0,8,67,0,0,0,0,16,10,0,0,0,0
범죄수익 은닉의 규제 및 처벌등에 관한법률,4,7,3,0,0,0,0,1,10,0,1,1,2
변호사법,12,17,7,0,0,0,0,3,37,0,2,5,0
병역법,1,33,327,0,0,0,0,49,13,0,10,50,0
보조금관리에 관한법률,0,0,7,0,0,0,0,1,16,0,0,0,0
부동산 실권리자명의 등기에 관한법률,0,2,17,0,0,0,0,2,15,0,1,0,0
부정경쟁방지 및 영업비밀 보호에 관한법률,3,23,8,0,0,0,0,15,65,0,0,12,0
부정수표단속법,0,10,6,0,0,0,0,6,33,0,51,3,4
사행행위등 규제 및 처벌특례법,9,21,15,0,0,0,0,3,5,0,0,6,0
산림자원의 조성 및 관리에 관한법률,0,0,1,0,0,0,0,1,5,0,0,0,0
산업안전보건법,0,8,614,0,0,0,0,21,12,0,8,1,0
산지관리법,0,0,3,0,0,0,0,1,0,0,0,2,0
상표법,7,62,747,1,0,0,0,299,149,0,10,8,6
석유 및 석유대체연료 사업법,1,2,15,0,0,0,0,3,6,0,0,0,0
성매매 알선등 행위의 처벌에 관한법률,221,544,353,5,2,184,0,1079,213,0,89,86,7
수도법,0,0,5,0,0,0,0,2,0,0,1,0,0
식품위생법,4,30,877,0,0,0,0,354,195,0,33,4,2
신용정보의 이용 및 보호에 관한법률,4,2,7,0,0,0,0,68,9,0,0,0,0
아동·청소년의 성보호에 관한법률(성매수등),3,12,3,0,0,0,0,14,7,0,1,2,0
아동·청소년의 성보호에 관한법률(음란물등),0,3,6,2,0,0,0,53,5,1,2,7,0
아동복지법,1,8,5,1,0,0,89,9,31,0,1,1,0
약사법,7,23,109,0,0,0,0,52,67,0,5,0,4
여객자동차 운수사업법,0,3,174,0,0,0,0,8,26,0,15,6,3
여신전문금융업법,58,64,97,0,0,0,0,66,86,0,6,52,19
영유아보육법,0,0,1,0,0,0,0,1,5,0,0,0,0
예비군법,0,5,343,0,0,0,0,30,9,0,13,55,0
옥외광고물등의 관리와 옥외광고 산업진흥에 관한법률,0,0,20,0,0,0,0,2,10,0,3,0,0
외국환거래법,4,16,30,0,0,0,0,21,13,0,3,8,2
위험물안전관리법,0,1,0,0,0,0,0,1,0,0,0,0,0
유사수신행위의 규제에 관한법률,49,220,44,0,0,0,0,29,126,0,50,42,27
의료기기법,0,0,89,0,0,0,0,60,20,0,4,1,0
의료법,10,49,179,0,0,0,0,323,228,0,41,12,1
자동차관리법,2,12,734,5,0,0,0,404,586,1,100,72,4
자동차 손해배상보장법,0,4,638,13,0,0,0,75,392,0,754,175,1
자본시장과 금융투자업에 관한법률,4,16,4,0,0,0,0,7,15,0,2,6,6
저작권법,0,18,130,0,0,0,0,390,375,0,964,24,9
전자금융거래법,80,247,283,4,0,0,0,421,338,0,122,78,2
전파법,3,3,199,0,0,0,0,182,11,0,0,0,0
정보통신망이용촉진 및 정보보호등에 관한법률,20,59,297,5,0,0,0,570,478,4,236,111,5
조세범처벌법,2,100,49,0,0,0,0,31,120,0,36,29,33
주민등록법,0,2,24,7,0,0,0,39,20,0,10,5,0
주차장법,0,0,7,0,0,0,0,1,2,0,1,0,0
주택법,1,0,558,0,0,0,0,25,40,0,10,2,0
직업안정법,3,5,13,0,0,0,0,9,10,0,0,3,0
집회 및 시위에 관한법률,3,5,45,0,0,0,0,9,19,0,0,0,0
청소년보호법,0,3,201,1,0,0,0,91,145,0,0,3,1
"총포,도검,화약류등의 안전관리에 관한법률",0,0,3,0,0,0,0,2,1,1,0,0,0
최저임금법,0,2,13,0,0,0,0,13,3,0,2,0,0
축산물위생관리법,0,14,74,0,0,0,0,14,13,0,5,0,0
출입국관리법,13,47,137,0,0,0,0,139,23,0,10,10,0
통신비밀보호법,0,1,3,0,0,0,0,0,10,0,1,0,0
특가법(도주차량),4,54,47,3,0,0,0,14,52,0,6,5,1
특허법,0,0,5,0,0,0,0,0,62,0,13,1,0
폐기물관리법,0,2,44,0,0,0,0,12,21,0,1,1,0
풍속영업의 규제에 관한법률,0,5,12,0,0,0,0,8,0,0,0,0,0
학교보건법,0,1,5,0,0,0,0,0,5,0,1,0,0
학원의 설립운영 및 과외교습에 관한법률,0,0,18,0,0,0,0,11,8,0,0,0,0
화물자동차 운수사업법,0,0,110,0,0,0,0,14,21,0,6,0,0
화학물질관리법,3,56,225,0,0,0,0,56,15,0,0,0,0
기타특별법,73,508,1528,4,1,0,1,578,755,5,103,72,28
