"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,미성년,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상
"죄종별(1)",죄종별(2),소계,소계,14세미만,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계
"강력범죄",강제추행,487,54,-,12,13,11,10,8,433,10,7,70,41,52,49,48,49,50,33,16,6,2,-,563,49,8,14,11,7,9,513,13,15,86,58,37,54,52,73,56,36,20,5,8,1,658,39,3,8,7,10,11,615,18,15,87,69,53,71,53,73,60,52,39,15,10,4,655,31,5,6,2,8,10,619,16,14,81,70,54,70,61,80,58,41,46,14,14,5,570,31,5,6,5,3,12,534,17,16,66,66,40,58,49,78,44,55,23,12,10,5
"강력범죄",기타 강간·강제추행 등,9,2,-,-,-,1,-,1,7,2,1,2,-,1,-,-,1,-,-,-,-,-,-,9,2,1,-,-,1,-,7,-,-,-,1,1,-,-,2,1,1,1,-,-,-,13,9,1,1,1,4,2,4,-,-,1,1,1,-,-,-,1,-,-,-,-,-,14,3,-,1,-,-,2,11,-,-,1,2,1,-,1,-,1,3,1,-,1,-,5,2,2,-,-,-,-,3,-,-,-,-,2,1,-,-,-,-,-,-,-,-
"강력범죄",방화,219,12,-,1,3,2,5,1,207,3,1,9,16,18,20,27,30,33,23,11,9,7,-,226,8,3,1,2,1,1,218,1,6,17,12,20,13,24,40,38,23,12,5,7,-,212,8,3,-,4,1,-,204,1,3,12,16,25,17,25,32,36,19,12,3,3,-,189,7,2,1,-,1,3,182,-,1,15,11,14,22,14,25,29,25,16,5,5,-,168,9,5,-,3,-,1,159,-,1,17,11,14,18,12,32,17,22,10,1,4,-
"절도범죄",소계,25201,2616,2,619,605,623,420,347,22568,354,422,1877,1482,1579,1690,1873,2340,2534,2771,1967,1439,2240,17,24100,2501,682,609,493,377,340,21573,290,303,1615,1335,1365,1573,1691,2146,2344,2794,2148,1558,2411,26,26316,2416,764,648,389,319,296,23859,339,318,1644,1415,1361,1742,1796,2145,2367,2978,2536,1942,3276,41,25760,1953,657,498,307,271,220,23777,258,286,1394,1358,1200,1591,1664,2117,2499,2948,2756,2086,3620,30,24489,1462,432,394,332,163,141,23009,183,239,1090,1208,1137,1368,1487,1838,2362,2668,2798,2212,4419,18
"폭력범죄",소계,60162,4613,2,679,966,942,953,1071,55454,1264,1358,6636,4801,5229,5435,5972,6682,6480,5402,2802,1560,1833,95,59167,4606,860,957,874,876,1039,54425,1269,1150,6037,4716,4911,5738,5581,6458,6155,5537,3193,1666,2014,136,61928,4350,741,926,776,816,1091,57337,1255,1275,6027,5302,4965,6263,5864,6678,6248,5662,3577,1871,2350,241,55441,3251,619,605,580,598,849,51972,1058,1101,5215,4766,4403,5550,5115,5989,5803,5280,3554,1912,2226,218,48573,3171,542,658,648,518,805,45321,793,849,4249,4370,4050,4857,4605,5168,4897,4259,3275,1807,2142,81
"폭력범죄",상해,9281,467,-,48,68,97,138,116,8807,130,143,718,619,765,787,999,1172,1166,1033,560,332,383,7,8483,454,63,83,102,105,101,8013,143,106,679,571,660,744,772,987,997,990,599,329,436,16,8202,397,56,74,65,86,116,7796,124,123,634,634,607,775,778,926,960,846,583,338,468,9,7404,303,38,44,63,62,96,7086,115,107,545,548,542,724,705,843,849,814,565,336,393,15,5932,293,46,56,62,56,73,5637,64,73,484,512,450,572,554,621,603,647,483,277,297,2
"폭력범죄",폭행,35781,1785,-,178,255,332,402,618,33964,775,877,4345,3104,3344,3427,3745,3961,3790,3096,1639,858,1003,32,35819,1832,210,283,345,402,592,33942,802,765,3910,3149,3211,3808,3582,3932,3652,3239,1848,958,1086,45,37763,1737,188,271,297,371,610,35955,796,818,4030,3599,3311,4105,3745,4163,3665,3403,2079,1032,1209,71,33022,1365,170,227,205,279,484,31609,648,720,3412,3148,2819,3505,3127,3620,3335,3029,2032,1042,1172,48,28624,1378,186,229,271,222,470,27219,467,531,2625,2760,2614,3173,2875,3023,2806,2382,1825,1003,1135,27
"폭력범죄",체포·감금,338,46,-,5,12,9,13,7,282,3,4,25,18,23,30,25,46,50,35,7,9,7,10,281,37,2,15,1,5,14,242,4,2,16,17,24,18,25,29,45,30,20,9,3,2,304,23,5,12,1,3,2,275,8,7,23,13,11,14,22,43,47,42,29,11,5,6,279,17,3,4,5,4,1,261,2,3,21,13,15,31,29,30,34,45,24,2,12,1,283,28,6,4,7,7,4,250,14,4,19,19,14,26,17,31,36,24,19,17,10,5
"폭력범죄",협박,1809,98,2,15,13,23,23,22,1703,24,12,90,128,180,219,213,263,215,196,84,34,45,8,2225,135,29,41,24,21,20,2060,26,19,151,172,167,242,262,340,253,217,110,48,53,30,2834,168,26,35,40,43,24,2645,30,33,171,195,247,342,332,355,345,288,160,68,79,21,2867,136,33,18,31,24,30,2693,19,25,170,222,273,346,336,345,344,273,161,96,83,38,2975,130,27,21,35,28,19,2828,24,28,211,260,295,349,324,380,351,263,169,78,96,17
"폭력범죄",약취·유인,83,4,-,1,-,2,-,1,78,2,-,3,8,11,14,8,5,5,8,6,6,2,1,86,4,1,-,2,1,-,82,1,1,7,3,17,11,12,9,6,7,4,2,2,-,119,10,2,-,-,3,5,96,-,3,12,9,10,20,7,9,4,10,3,6,3,13,89,7,3,3,-,1,-,82,1,3,4,12,11,12,7,4,5,7,14,1,1,-,92,2,-,-,-,-,2,87,1,1,4,12,10,15,10,9,10,7,5,1,2,3
