"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"죄종별(1)",죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"지능범죄",통화,18,8,7,3,1,2,-,1,-,-,-,-,3,7,5,1,1,-,-,-,-,-,-,-,-,1,21,10,8,3,-,1,1,1,1,1,-,-,3,6,2,3,1,-,-,-,-,-,-,2,-,1,5,3,1,-,1,-,-,-,-,-,-,-,1
"지능범죄",문서·인장,1408,1022,304,144,62,20,14,12,16,7,6,23,82,1242,872,304,137,47,23,24,18,8,8,5,34,66,1070,785,237,98,39,35,10,9,10,7,3,26,48,983,667,247,90,40,23,22,15,5,11,10,31,69,581,372,180,81,36,10,9,7,10,3,3,21,29
"지능범죄",유가증권인지,3,1,2,-,1,1,-,-,-,-,-,-,-,9,2,7,-,-,1,-,-,-,-,1,5,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",사기,6512,2991,1908,514,297,216,163,104,89,74,76,375,1613,6751,3134,2136,574,334,259,183,122,113,80,65,406,1481,7788,3774,2436,647,360,272,172,144,133,95,65,548,1578,9115,4684,2745,761,402,309,194,172,123,99,82,603,1686,7491,4134,2112,585,291,233,174,132,84,89,57,467,1245
"지능범죄",횡령,1596,1126,325,171,60,36,21,7,7,5,6,12,145,1529,1083,327,153,60,41,18,15,8,5,4,23,119,1396,987,273,123,41,25,13,17,7,5,11,31,136,1367,944,301,121,54,23,16,18,11,9,8,41,122,1099,743,256,101,43,24,18,14,6,9,7,34,100
"지능범죄",배임,10,4,1,-,1,-,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,3,8,1,1,-,-,1,-,-,-,-,-,-,6,12,7,2,2,-,-,-,-,-,-,-,-,3,5,2,-,-,-,-,-,-,-,-,-,-,3
"풍속범죄",소계,2441,1991,305,200,56,18,6,10,1,2,2,10,145,2528,2110,289,194,37,16,10,9,9,3,1,10,129,2489,2041,280,183,46,22,8,4,5,2,-,10,168,3244,2663,332,204,69,23,11,11,6,6,1,1,249,3628,3030,282,194,38,21,3,6,4,1,3,12,316
"풍속범죄",성풍속범죄,2159,1778,244,169,43,10,5,6,1,-,1,9,137,2362,1989,247,172,31,13,7,8,7,3,-,6,126,2246,1864,223,150,35,16,5,3,4,2,-,8,159,2894,2389,273,168,58,16,9,10,4,6,1,1,232,3444,2880,259,178,35,19,3,5,4,1,3,11,305
"풍속범죄",도박범죄,282,213,61,31,13,8,1,4,-,2,1,1,8,166,121,42,22,6,3,3,1,2,-,1,4,3,243,177,57,33,11,6,3,1,1,-,-,2,9,350,274,59,36,11,7,2,1,2,-,-,-,17,184,150,23,16,3,2,-,1,-,-,-,1,11
"특별경제범죄",소계,1571,872,267,105,54,34,18,12,6,6,5,27,432,1197,708,223,102,49,19,11,13,6,7,4,12,266,1355,879,247,109,37,33,12,10,6,5,3,32,229,1065,665,186,91,36,15,9,6,6,5,2,16,214,763,436,129,53,25,13,11,7,3,-,3,14,198
"마약범죄",소계,113,77,29,16,5,3,1,4,-,-,-,-,7,141,90,41,15,10,6,4,1,2,-,2,1,10,193,145,39,22,9,4,1,1,1,-,-,1,9,321,249,61,26,13,4,4,1,1,5,-,7,11,342,213,108,46,30,12,5,4,5,2,3,1,21
"보건범죄",소계,69,41,11,3,-,-,2,-,2,1,1,2,17,69,48,11,5,2,1,-,1,1,1,-,-,10,82,56,18,10,4,3,1,-,-,-,-,-,8,229,176,28,15,4,4,-,2,-,1,1,1,25,753,601,94,51,16,12,2,6,-,2,1,4,58
"환경범죄",소계,5,4,1,-,-,-,-,-,-,-,1,-,-,7,3,2,-,-,-,-,-,-,-,-,2,2,10,7,1,-,-,-,1,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
"교통범죄",소계,14078,7591,3626,1653,765,407,222,150,96,62,46,225,2861,11004,6023,2743,1286,541,285,206,90,80,68,36,151,2238,10406,5712,2561,1144,469,289,171,119,80,63,50,176,2133,10877,6119,2662,1148,482,315,175,118,91,66,48,219,2096,10020,5614,2466,984,459,308,179,131,83,60,58,204,1940
"노동범죄",소계,7,6,-,-,-,-,-,-,-,-,-,-,1,9,2,5,3,2,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,1
"안보범죄",소계,7,4,3,1,-,1,-,1,-,-,-,-,-,3,1,2,1,-,-,-,-,-,1,-,-,-,5,1,4,2,-,-,1,-,-,-,1,-,-,6,1,3,-,-,2,-,-,-,1,-,-,2,4,1,-,-,-,-,-,-,-,-,-,-,3
"선거범죄",소계,23,19,2,1,-,1,-,-,-,-,-,-,2,32,23,5,-,2,-,2,1,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,59,44,12,5,6,-,1,-,-,-,-,-,3,7,6,-,-,-,-,-,-,-,-,-,-,1
"병역범죄",소계,345,283,51,30,6,8,4,2,-,-,-,1,11,309,235,59,33,12,5,2,3,1,-,-,3,15,261,216,38,21,6,4,4,-,1,1,-,1,7,50,39,6,3,2,-,-,-,1,-,-,-,5,34,25,5,3,1,-,-,-,-,1,-,-,4
"기타범죄",소계,9844,5965,1693,799,366,186,83,62,66,23,23,85,2186,8854,5380,1434,663,288,160,79,59,45,33,19,88,2040,8629,5283,1300,628,208,159,91,58,35,18,12,91,2046,8804,5320,1535,712,297,173,98,61,47,23,20,104,1949,8220,4898,1467,683,279,159,87,63,38,29,23,106,1855
