"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상
"죄종별(1)",죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"지능범죄",배임,1364,244,179,71,47,15,19,8,6,3,1,9,941,1552,307,204,89,37,19,17,12,4,6,3,17,1041,1614,222,181,64,38,22,13,13,4,2,10,15,1211,1650,250,172,66,34,12,18,12,9,5,5,11,1228,1124,193,149,58,25,20,11,9,5,5,-,16,782
"풍속범죄",소계,4522,1410,2565,695,574,376,298,176,111,100,57,178,547,4064,1297,2231,653,435,356,229,155,94,58,61,190,536,4001,1273,2147,634,406,293,243,151,110,70,64,176,581,3593,1250,1698,517,386,244,142,110,77,59,36,127,645,2720,1089,1203,370,241,172,129,83,72,40,19,77,428
"풍속범죄",성풍속범죄,547,279,134,58,24,15,10,11,4,4,-,8,134,604,314,160,61,33,16,16,13,3,4,4,10,130,564,274,142,71,24,11,14,3,2,5,4,8,148,589,299,148,56,30,18,6,5,8,5,2,18,142,737,439,125,56,22,14,12,5,3,2,1,10,173
"풍속범죄",도박범죄,3975,1131,2431,637,550,361,288,165,107,96,57,170,413,3460,983,2071,592,402,340,213,142,91,54,57,180,406,3437,999,2005,563,382,282,229,148,108,65,60,168,433,3004,951,1550,461,356,226,136,105,69,54,34,109,503,1983,650,1078,314,219,158,117,78,69,38,18,67,255
"특별경제범죄",소계,16682,6634,4721,1892,982,538,336,209,157,135,89,383,5327,18361,7550,5028,2141,966,561,366,259,181,119,82,353,5783,20694,9272,5744,2529,1157,638,374,235,153,111,93,454,5678,17472,7235,4624,1911,904,513,328,225,153,96,74,420,5613,11406,4545,3008,1261,586,335,183,145,100,63,45,290,3853
"마약범죄",소계,2064,1140,772,256,159,95,55,41,41,11,14,100,152,1993,1155,693,214,121,75,54,44,31,17,24,113,145,2461,1389,882,323,153,102,65,44,34,24,20,117,190,3227,1937,1040,381,203,94,80,68,36,21,18,139,250,2679,1449,961,368,171,97,46,59,38,23,36,123,269
"보건범죄",소계,9545,4535,3546,1460,762,440,267,175,137,87,43,175,1464,9262,4621,3252,1269,731,402,265,160,118,79,66,162,1389,9795,4795,3491,1347,757,472,258,184,114,99,62,198,1509,11148,5407,3825,1560,805,482,285,188,140,82,65,218,1916,16639,8949,5640,2439,1193,689,416,245,173,144,76,265,2050
"환경범죄",소계,464,200,184,73,48,25,12,9,3,5,2,7,80,436,184,175,71,44,16,13,9,6,6,2,8,77,644,305,206,77,35,31,19,11,8,5,4,16,133,318,106,118,42,22,16,11,8,6,1,3,9,94,302,110,130,42,25,14,13,10,3,1,1,21,62
"교통범죄",소계,74215,26021,16470,7944,3721,1866,1006,686,401,238,144,464,31724,68451,23133,13748,6691,3022,1545,911,534,306,213,138,388,31570,69293,21953,12156,5883,2648,1361,743,502,308,194,118,399,35184,63638,19591,11559,5347,2458,1371,772,499,322,219,127,444,32488,55815,18311,10765,5123,2344,1202,672,470,253,189,116,396,26739
"노동범죄",소계,2047,1573,322,179,61,38,13,8,5,5,6,7,152,785,521,186,97,47,19,7,7,3,2,1,3,78,168,65,61,25,20,7,6,1,-,-,-,2,42,133,69,38,21,5,6,-,1,1,-,-,4,26,162,102,37,21,7,3,-,2,1,-,1,2,23
"안보범죄",소계,47,16,26,15,8,2,-,-,-,-,-,1,5,30,11,9,2,2,4,-,-,-,-,1,-,10,99,40,31,16,6,6,1,1,-,-,-,1,28,103,64,33,19,4,6,2,-,1,-,-,1,6,138,63,34,16,5,5,3,2,1,1,-,1,41
"선거범죄",소계,182,87,40,16,10,5,3,2,-,1,2,1,55,773,434,141,65,39,13,10,5,3,3,1,2,198,162,88,30,21,4,3,1,1,-,-,-,-,44,549,172,108,59,25,10,3,3,1,2,3,2,269,58,24,8,6,1,1,-,-,-,-,-,-,26
"병역범죄",소계,168,108,42,30,5,4,2,-,1,-,-,-,18,183,131,29,16,8,4,-,1,-,-,-,-,23,161,110,34,20,8,3,-,1,-,1,1,-,17,12,4,5,3,1,-,1,-,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-
"기타범죄",소계,71328,29259,21998,8872,4748,2843,1671,1131,763,482,343,1145,20071,67193,26484,19266,7661,4092,2475,1531,1024,609,412,299,1163,21443,70720,27846,19224,7554,3992,2410,1485,1038,708,483,326,1228,23650,66275,25007,17152,6834,3551,2124,1302,893,593,448,284,1123,24116,59454,24055,15963,6325,3302,1933,1195,842,559,420,266,1121,19436
