"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"지능범죄",문서·인장,4248,373,121,2,1,3,2,244,38,-,3,229,22,143,6,190,1263,1981,4222,293,78,-,-,1,5,209,72,-,4,68,20,124,1,249,1014,2377,4362,335,77,1,-,-,-,257,38,-,6,81,18,113,4,281,1140,2346,4187,288,91,1,-,5,-,191,37,-,8,110,24,146,1,199,1026,2348,3108,240,64,-,-,3,2,171,23,-,2,93,11,103,3,220,883,1530
"지능범죄",유가증권인지,48,8,3,-,-,-,-,5,-,-,-,-,-,1,-,-,10,29,47,5,-,-,-,-,-,5,-,-,-,-,-,-,-,-,14,28,38,3,2,-,-,-,-,1,-,-,-,-,-,-,-,1,6,28,22,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,5,14,11,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8
"지능범죄",사기,46374,9016,3845,163,78,42,111,4777,449,-,6,30,96,594,6,1172,10705,24300,53319,9995,4276,141,65,30,73,5410,683,-,10,118,120,855,17,1849,11850,27822,57952,11193,4536,83,77,49,81,6367,819,-,2,23,112,868,11,2408,13896,28620,55328,10923,4914,98,65,31,41,5774,712,-,5,46,141,989,9,1679,11817,29007,37534,9060,4489,82,58,27,32,4372,581,-,2,61,108,874,10,1065,9233,16540
"지능범죄",횡령,7517,1179,289,7,1,6,12,864,80,-,3,159,62,974,2,247,1711,3100,8303,1111,288,7,1,5,7,803,105,-,3,78,49,1259,8,335,1582,3773,8401,1123,322,5,2,4,2,788,96,1,1,59,50,1412,2,274,1541,3842,8825,1145,298,3,1,7,7,829,102,-,3,113,51,1520,3,309,1652,3927,7466,1062,248,1,4,7,3,799,92,-,2,116,43,1507,4,287,1510,2843
"지능범죄",배임,1364,141,55,-,-,-,1,85,7,1,-,-,4,6,-,27,217,961,1552,132,29,-,2,-,1,100,5,-,-,1,1,11,-,30,322,1050,1614,130,40,-,1,-,-,89,9,-,-,-,1,10,1,24,220,1219,1650,111,22,-,-,-,-,89,7,-,-,-,-,10,-,37,245,1240,1124,97,24,-,-,1,-,72,6,-,-,1,2,5,-,25,201,787
"풍속범죄",소계,4522,852,122,12,39,1,2,676,1482,-,-,105,41,305,5,70,1108,554,4064,678,120,22,24,-,2,510,1311,1,3,59,33,323,3,98,987,568,4001,706,91,10,26,2,-,577,1161,-,5,79,27,377,10,70,968,598,3593,529,101,7,29,-,-,392,914,-,8,86,27,354,9,99,896,671,2720,425,89,15,20,-,-,301,573,-,8,95,27,428,5,68,660,431
"풍속범죄",성풍속범죄,547,71,39,-,-,-,-,32,12,-,-,32,17,83,3,18,176,135,604,118,51,-,-,-,-,67,2,1,3,21,6,93,2,33,169,156,564,41,22,1,-,-,-,18,-,-,5,30,6,108,7,17,188,162,589,43,24,-,-,-,-,19,2,-,8,24,3,144,9,28,170,158,737,20,12,1,-,-,-,7,2,-,8,69,10,216,4,23,209,176
"풍속범죄",도박범죄,3975,781,83,12,39,1,2,644,1470,-,-,73,24,222,2,52,932,419,3460,560,69,22,24,-,2,443,1309,-,-,38,27,230,1,65,818,412,3437,665,69,9,26,2,-,559,1161,-,-,49,21,269,3,53,780,436,3004,486,77,7,29,-,-,373,912,-,-,62,24,210,-,71,726,513,1983,405,77,14,20,-,-,294,571,-,-,26,17,212,1,45,451,255
"특별경제범죄",소계,16682,2796,1202,7,1,8,19,1559,100,1,24,58,38,1454,136,1323,5337,5415,18361,3451,1503,5,3,5,9,1926,138,1,19,13,57,1596,105,1557,5574,5850,20694,4142,1575,8,-,3,4,2552,212,1,12,15,72,1827,122,2104,6439,5748,17472,3240,1254,4,1,-,1,1980,143,2,14,23,40,1680,114,1403,5136,5677,11406,1824,760,4,-,7,1,1052,81,3,13,15,24,1312,59,848,3348,3879
"마약범죄",소계,2064,95,26,-,-,1,-,68,11,-,1,220,230,152,20,301,874,160,1993,87,26,-,-,-,2,59,11,-,3,151,204,146,13,389,839,150,2461,114,41,-,-,-,-,73,8,1,9,243,256,209,19,356,1042,204,3227,78,17,-,1,1,-,59,31,-,6,326,278,256,32,490,1477,253,2679,111,29,-,-,-,-,82,19,-,4,297,207,236,31,295,1208,271
"보건범죄",소계,9545,2498,1324,3,1,-,7,1163,72,-,4,51,13,129,-,1089,4191,1498,9262,2392,1196,-,1,-,12,1183,72,-,-,4,13,408,1,1117,3859,1396,9795,2778,1448,1,-,-,17,1312,112,-,2,5,14,183,4,1141,4035,1521,11148,2542,1265,-,-,1,12,1264,82,-,2,8,17,252,26,1498,4790,1931,16639,3354,1866,7,-,-,-,1481,112,-,3,34,139,627,6,2844,7454,2066
"환경범죄",소계,464,52,18,-,1,-,-,33,-,-,-,-,-,3,-,127,200,82,436,32,13,-,-,-,-,19,-,-,-,-,1,-,-,121,203,79,644,75,26,-,-,-,1,48,3,-,-,-,-,6,-,162,263,135,318,31,8,-,-,-,-,23,-,-,-,-,-,3,1,62,127,94,302,26,14,-,-,-,1,11,-,-,-,-,-,7,-,71,135,63
"교통범죄",소계,74215,140,39,-,-,-,-,101,9,-,31,95,102,2695,10,21965,17034,32134,68451,131,35,-,-,-,-,96,24,-,18,33,67,2854,11,19921,13608,31784,69293,98,41,-,-,-,-,57,30,-,21,57,34,2732,9,19851,11033,35428,63638,60,27,-,-,-,-,33,22,-,31,132,49,2845,8,17541,10219,32731,55815,61,27,-,-,-,1,33,21,1,24,142,33,2859,17,16199,9598,26860
"노동범죄",소계,2047,914,499,-,-,-,1,414,11,-,-,-,11,16,-,145,796,154,785,322,105,-,-,-,-,217,13,-,1,-,1,17,-,61,289,81,168,52,26,-,-,-,-,26,1,-,-,-,-,3,-,14,55,43,133,35,21,-,-,-,-,14,1,-,-,-,-,3,-,10,57,27,162,26,11,-,-,-,-,15,1,-,-,-,-,1,-,24,87,23
"안보범죄",소계,47,20,7,-,-,-,-,13,-,-,-,-,1,1,1,-,19,5,30,9,3,-,-,-,-,6,2,-,-,-,-,1,-,-,8,10,99,35,7,-,-,-,-,28,1,-,-,-,-,-,1,3,31,28,103,57,28,1,-,-,-,28,1,-,-,-,6,-,-,2,31,6,138,63,49,-,-,-,-,14,1,-,-,-,1,2,-,-,30,41
"선거범죄",소계,182,2,-,-,-,-,-,2,-,-,-,6,-,17,4,23,75,55,773,25,1,-,-,-,-,24,5,-,-,2,1,26,8,146,360,200,162,11,-,-,-,-,-,11,-,-,-,-,4,12,1,9,81,44,549,2,-,-,-,-,-,2,1,-,-,2,-,23,10,17,225,269,58,3,-,-,-,-,-,3,-,-,-,-,-,3,-,11,15,26
"병역범죄",소계,168,4,1,-,-,-,-,3,-,-,-,-,-,1,-,74,71,18,183,-,-,-,-,-,-,-,-,-,-,-,-,3,-,88,69,23,161,-,-,-,-,-,-,-,-,-,1,-,-,2,-,83,58,17,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
"기타범죄",소계,71328,10907,5468,72,7,21,81,5258,472,14,534,372,211,4456,392,7568,25970,20432,67193,9645,4393,45,29,7,247,4924,440,5,470,203,162,5284,351,7020,21137,22476,70720,9691,4215,28,6,17,54,5371,613,10,606,314,141,5965,376,7393,21020,24591,66275,6995,3101,28,4,4,21,3837,407,20,688,340,138,6199,407,6629,19689,24763,59454,5759,2534,11,1,6,24,3183,399,18,1189,326,134,7240,336,5519,18928,19606
